0	00
1	01
2	02
3	03
4	04
5	05
6	06
7	07
8	08
9	09
10	0a
11	0b
12	0c
13	0d
14	0e
15	0f
16	10
17	11
18	12
19	13
20	14
21	15
22	16
23	17
24	18
25	19
26	1a
27	1b
28	1c
29	1d
30	1e
31	1f
32	20
33	21
34	22
35	23
36	24
37	25
38	26
39	27
40	28
41	29
42	2a
43	2b
44	2c
45	2d
46	2e
47	2f
48	30
49	31
50	32
51	33
52	34
53	35
54	36
55	37
56	38
57	39
58	3a
59	3b
60	3c
61	3d
62	3e
63	3f
64	40
65	41
66	42
67	43
68	44
69	45
70	46
71	47
72	48
73	49
74	4a
75	4b
76	4c
77	4d
78	4e
79	4f
80	50
81	51
82	52
83	53
84	54
85	55
86	56
87	57
88	58
89	59
90	5a
91	5b
92	5c
93	5d
94	5e
95	5f
96	60
97	61
98	62
99	63
100	64
101	65
102	66
103	67
104	68
105	69
106	6a
107	6b
108	6c
109	6d
110	6e
111	6f
112	70
113	71
114	72
115	73
116	74
117	75
118	76
119	77
120	78
121	79
122	7a
123	7b
124	7c
125	7d
126	7e
127	7f
128	80
129	81
130	82
131	83
132	84
133	85
134	86
135	87
136	88
137	89
138	8a
139	8b
140	8c
141	8d
142	8e
143	8f
144	90
145	91
146	92
147	93
148	94
149	95
150	96
151	97
152	98
153	99
154	9a
155	9b
156	9c
157	9d
158	9e
159	9f
160	a0
161	a1
162	a2
163	a3
164	a4
165	a5
166	a6
167	a7
168	a8
169	a9
170	aa
171	ab
172	ac
173	ad
174	ae
175	af
176	b0
177	b1
178	b2
179	b3
180	b4
181	b5
182	b6
183	b7
184	b8
185	b9
186	ba
187	bb
188	bc
189	bd
190	be
191	bf
192	c0
193	c1
194	c2
195	c3
196	c4
197	c5
198	c6
199	c7
200	c8
201	c9
202	ca
203	cb
204	cc
205	cd
206	ce
207	cf
208	d0
209	d1
210	d2
211	d3
212	d4
213	d5
214	d6
215	d7
216	d8
217	d9
218	da
219	db
220	dc
221	dd
222	de
223	df
224	e0
225	e1
226	e2
227	e3
228	e4
229	e5
230	e6
231	e7
232	e8
233	e9
234	ea
235	eb
236	ec
237	ed
238	ee
239	ef
240	f0
241	f1
242	f2
243	f3
244	f4
245	f5
246	f6
247	f7
248	f8
249	f9
250	fa
251	fb
252	fc
253	fd
254	fe
255	ff
256	3c7c656e646f66746578747c3e
257	6865
258	2074
259	2061
260	2073
261	2077
262	6e64
263	20746865
264	6564
265	20616e64
266	20746f
267	2062
268	696e
269	2068
270	207761
271	7265
272	6f75
273	2066
274	6974
275	206c
276	2063
277	2064
278	6572
279	206865
280	206d
281	2070
282	20776173
283	6f6d
284	2054
285	206f
286	6179
287	6172
288	6973
289	696e67
290	696c
291	2067
292	6964
293	6174
294	656e
295	206e
296	207361
297	206861
298	2053
299	20546865
300	616e
301	696d
302	6f72
303	6f6e
304	206974
305	207468
306	6c6c
307	6c65
308	2048
309	20686572
310	6f74
311	6574
312	6972
313	20536865
314	6573
315	204865
316	20696e
317	766572
318	7574
319	6f77
320	2054686579
321	636b
322	2065
323	2075
324	6c64
325	2079
326	6f6f
327	2073616964
328	6967
329	2022
330	696c79
331	2072
332	206265
333	616d
334	207374
335	2049
336	6365
337	6b65
338	20736865
339	7665
340	7070
341	697468
342	2077697468
343	4c696c79
344	4f6e
345	206f6e
346	20796f75
347	206f66
348	6b6564
349	7269
350	20736f
351	6e74
352	20686973
353	20706c
354	6164
355	76657279
356	20646179
357	2074686174
358	207570
359	20706c6179
360	20686164
361	7374
362	2074686579
363	207765
364	204c696c79
365	206d6f6d
366	20666f72
367	2042
368	656c
369	756e
370	6f756c64
371	2773
372	6d79
373	546865
374	206c69
375	6368
